"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="138177815152163802","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","要小的","等待买家付款","CLC1180102500004"
="136434292111828880","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","麻烦包装好一点。","买家已付款，等待卖家发货","CLC1180102500004"
="125272953196552435","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","买家已付款，等待卖家发货","CLC1180102500004"
="136218553266800399","秦岭云 山东临沂农家自种新鲜紫薯 现挖沙地迷你紫薯种薯 5斤包邮","49.90","1","CLC1170102250004","null","null","null","买家已付款，等待卖家发货","CLC1170102250004"
="137996291829081502","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","买家已付款，等待卖家发货","CLC1180102500004"
="125188086043869146","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="125114584703749653","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","买家已付款，等待卖家发货","CLC1180102500004"
="137627865629730006","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="124984552587884448","秦岭云 山东临沂农家自种新鲜紫薯 现挖沙地迷你紫薯种薯 5斤包邮","49.90","1","CLC1170102250004","null","null","null","卖家已发货，等待买家确认","CLC1170102250004"
="137497777346320503","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="137497777346320503","秦岭云 越南进口芒果 新鲜水果玉芒香芒当季水果特产现摘8斤包邮","78.80","1","CLC1180104000017","null","null","null","卖家已发货，等待买家确认","CLC1180104000017"
="124942498765106239","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="137569682376490002","秦岭云 越南进口芒果 新鲜水果玉芒香芒当季水果特产现摘8斤包邮","78.80","1","CLC1180104000017","null","null","null","卖家已发货，等待买家确认","CLC1180104000017"
="135701870738547664","秦岭云 新鲜普罗旺斯西红柿5斤孕妇生吃小西红柿番茄非圣女果包邮","59.80","1","CLC1180101225023","null","null","null","交易关闭","CLC1180101225023"
="135616554056831889","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易关闭","CLC1180102500004"
="137553723777470828","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="124685932385892938","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="135468043487109690","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="135410307652621262","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="135359877431587598","秦岭云 越南香玉芒果 新鲜芒果当季水果农家特产现摘现发5斤包邮","59.90","1","CLC1180102500017","null","null","null","卖家已发货，等待买家确认","CLC1180102500017"
="135359877431587598","秦岭云 越南百香果新鲜热带水果特级黄金百香果现摘西番莲5斤包邮","78.80","1","CLC1180102500018","null","null","null","卖家已发货，等待买家确认","CLC1180102500018"
="124595101244471738","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="137392415633093822","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="137073465277974826","秦岭云 越南香玉芒果 新鲜芒果当季水果农家特产现摘现发5斤包邮","59.90","1","CLC1180102500017","null","null","null","交易成功","CLC1180102500017"
="124538624880471429","秦岭云 越南进口芒果 新鲜水果玉芒香芒当季水果特产现摘8斤包邮","78.80","1","CLC1180104000017","null","null","null","卖家已发货，等待买家确认","CLC1180104000017"
="124596642124006734","秦岭云 新鲜普罗旺斯西红柿5斤孕妇生吃小西红柿番茄非圣女果包邮","59.80","1","CLC1180101225023","null","null","null","卖家已发货，等待买家确认","CLC1180101225023"
="124591266303666433","秦岭云 新鲜普罗旺斯西红柿5斤孕妇生吃小西红柿番茄非圣女果包邮","59.80","1","CLC1180101225023","null","null","null","卖家已发货，等待买家确认","CLC1180101225023"
="135097295511167289","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="136947940260586014","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="124424555318818445","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="134810713858708976","秦岭云 山东临沂农家自种新鲜紫薯 现挖沙地迷你紫心红薯 5斤包邮","49.90","1","CLC1170102250004","null","null","null","卖家已发货，等待买家确认","CLC1170102250004"
="124073964862321048","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="136714198383683112","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="123997104231362153","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易关闭","CLC1180102500004"
="124016090801019654","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="136605922377724506","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="134360894691944982","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="123881016176501748","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="136365624529794418","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="123814516022794929","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="123922375480168451","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","麻烦商家给挑选细长的品质好的我买来做种子的老人爱吃！谢谢","交易成功","CLC1180102500004"
="136571091791309114","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="136278404657355602","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易关闭","CLC1180102500004"
="136236153430297320","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="134054377227698178","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易关闭","CLC1180102500004"
="133945428977193578","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="133695250519056970","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="133654173402385290","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="133514844914364586","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="133357373270729374","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="133328786619413563","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="133193489453514990","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","3","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="133195478609220095","秦岭云2017年当季陕西苹果 新鲜苹果红富士脆甜非冰糖心 五斤包邮","59.60","1","CLC1170101050008","null","null","null","交易成功","CLC1170101050008"
="133195728875220095","秦岭云 越南百香果新鲜热带水果特级黄金百香果现摘西番莲5斤包邮","78.80","1","CLC1180102500018","null","null","null","交易成功","CLC1180102500018"
="133087930342767781","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="135451004207562528","秦岭云 山东临沂农家自种新鲜紫薯 现挖沙地迷你紫心红薯 5斤包邮","49.90","1","CLC1170102250004","null","null","null","卖家已发货，等待买家确认","CLC1170102250004"
="132875436059506870","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","紫薯个头中等，带几个小个的，谢谢","交易成功","CLC1180102500004"
="135327916876014709","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="132074580812162981","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="131805391580992559","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="122016806324595145","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","卖家已发货，等待买家确认","CLC1180102500004"
="121975842864195039","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="131425990533035693","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="134285451429331803","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="133991785522354322","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="130466262456935998","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="130343118419532575","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","null","交易成功","CLC1180102500004"
="129965314434572096","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500004","null","null","大的多发些，中的少发些，小的不要","交易成功","CLC1180102500004"
="129429029178394471","秦岭云 沂蒙山农家种植新鲜紫薯地瓜 现挖紫番薯香芋头 10斤包邮","73.90","1","CLC1180102500017","null","null","null","交易成功","CLC1180102500017"
="107797931497568450","秦岭云2017年当季陕西苹果 新鲜苹果红富士脆甜非阿克苏 五斤包邮","59.60","1","null","null","null","null","交易成功","null"
="114540785392210072","秦岭云2017年当季陕西苹果 新鲜苹果红富士脆甜非阿克苏 五斤包邮","59.60","1","null","null","null","null","交易成功","null"
="107764947512348659","秦岭云2017年当季陕西苹果 新鲜苹果红富士脆甜非阿克苏 五斤包邮","59.60","1","null","null","null","null","交易成功","null"
="121634629074334504","秦岭云2017年当季陕西苹果 新鲜苹果红富士脆甜非阿克苏 五斤包邮","59.60","3","null","null","null","null","交易成功","null"
="107051840709319053","秦岭云2017年当季陕西苹果 新鲜苹果红富士脆甜非阿克苏 五斤包邮","59.60","1","null","null","null","null","交易关闭","null"
="107094683583907359","秦岭云2017年当季陕西苹果 新鲜苹果红富士脆甜非阿克苏 五斤包邮","59.60","1","null","null","null","null","交易成功","null"
="106296793810608139","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="112889933853387279","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="106052886641495951","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="112507677863681598","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="105746454500977231","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="105664469015044947","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="120186077778672119","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="105669732758883156","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="120090148125433407","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111568416506757593","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119634227866334011","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119364529688777108","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104914967500802754","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111318012174220095","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104820019575592252","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119285288699805019","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111208562874839395","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111160401003115688","秦岭云 陕西彬县新鲜苹果 当季非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111164320778527493","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104709808892610547","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111146092171722981","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104704741748799548","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111060611932136963","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","请发百世汇通","交易成功","null"
="119237940510354322","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111153178302922774","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","朋友介绍的，一定要保证品质吆！","交易成功","null"
="111104681534554474","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104736103658349236","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104687073694317157","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119321718500971819","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104680241652825335","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104673717616472642","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104704266127401034","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111122826267107061","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119312450165835218","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111068393638563777","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119405187684429404","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119196752483210925","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111004415635131783","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111059489226741273","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104654621741062931","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119194400185394012","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111101910922471377","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111053217378384361","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="104650589603006734","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119392419969974826","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119127509863951918","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111065032810467074","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119188296890918811","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111051089411099075","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="110991983882779570","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="111064752509970563","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易关闭","null"
="119125605326841018","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119388975846167208","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
="119288482932231322","秦岭云 陕西苹果 当季新鲜水果非冰糖心 现摘现发产地直供5斤包邮","59.60","1","null","null","null","null","交易成功","null"
