商户订单号,发生时间,收入金额（+元）,支出金额（-元）,帐务类型,备注
180402-432806219520947,2018/4/5 21:00,0.66,0,优惠券结算,交易成功优惠券支付金额结算
180402-479259498240255,2018/4/5 20:12,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180402-380864867840195,2018/4/5 18:34,1.02,0,优惠券结算,交易成功优惠券支付金额结算
180401-513863545601164,2018/4/5 18:25,1,0,优惠券结算,交易成功优惠券支付金额结算
180402-484225600640748,2018/4/5 18:01,0.8,0,优惠券结算,交易成功优惠券支付金额结算
180402-542865969923210,2018/4/5 16:27,3,0,优惠券结算,交易成功优惠券支付金额结算
180404-425342170881657,2018/4/5 15:58,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-445706064643203,2018/4/5 15:52,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-307551352320182,2018/4/5 15:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-272787700482686,2018/4/5 14:53,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-411809349121386,2018/4/5 14:23,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-345278855681944,2018/4/5 12:49,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180402-491877685760476,2018/4/5 11:56,0.66,0,优惠券结算,交易成功优惠券支付金额结算
180403-206498322562346,2018/4/5 11:48,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-238997522560947,2018/4/5 10:57,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-262163361931699,2018/4/5 10:31,0,-0.76,优惠券结算,退款扣除优惠券支付金额
180404-262163361931699,2018/4/5 10:31,0.76,0,优惠券结算,交易成功优惠券支付金额结算
180402-304143184641310,2018/4/5 9:44,0.62,0,优惠券结算,交易成功优惠券支付金额结算
180402-312666689280316,2018/4/5 8:11,1.02,0,优惠券结算,交易成功优惠券支付金额结算
180331-304810704643285,2018/4/5 6:57,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-480518105601236,2018/4/5 1:49,0,-0.75,优惠券结算,退款扣除优惠券支付金额
180404-480518105601236,2018/4/5 1:49,0.75,0,优惠券结算,交易成功优惠券支付金额结算
180401-418339627521835,2018/4/4 23:01,10,0,优惠券结算,交易成功优惠券支付金额结算
180401-502321610240841,2018/4/4 21:58,0.64,0,优惠券结算,交易成功优惠券支付金额结算
180401-502436631043097,2018/4/4 21:23,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180404-489301742081250,2018/4/4 21:14,0,-3,优惠券结算,退款补用户优惠券
180404-489301742081250,2018/4/4 21:14,3,0,优惠券结算,交易成功优惠券支付金额结算
180402-281781132800662,2018/4/4 20:48,0.7,0,优惠券结算,交易成功优惠券支付金额结算
180402-323400250882804,2018/4/4 20:41,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180401-470517579522512,2018/4/4 19:47,10,0,优惠券结算,交易成功优惠券支付金额结算
180401-524918255360696,2018/4/4 19:23,10,0,优惠券结算,交易成功优惠券支付金额结算
180401-463723431683343,2018/4/4 18:56,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-391046188800635,2018/4/4 18:23,3,0,优惠券结算,交易成功优惠券支付金额结算
180331-417167430401575,2018/4/4 18:15,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180331-437997273603427,2018/4/4 18:03,3,0,优惠券结算,交易成功优惠券支付金额结算
180402-284345105923125,2018/4/4 17:07,10,0,优惠券结算,交易成功优惠券支付金额结算
180401-395213720322851,2018/4/4 16:07,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180331-304428751361044,2018/4/4 14:33,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-427156042240116,2018/4/4 13:57,0,-0.8,优惠券结算,退款扣除优惠券支付金额
180402-427156042240116,2018/4/4 13:57,0.8,0,优惠券结算,交易成功优惠券支付金额结算
180401-529829267201475,2018/4/4 13:07,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-303863181441202,2018/4/4 12:26,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-348072353282676,2018/4/4 12:04,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180403-348072353282676,2018/4/4 12:04,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180404-243626575363499,2018/4/4 8:14,0,-0.78,优惠券结算,退款扣除优惠券支付金额
180404-243626575363499,2018/4/4 8:14,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180330-272298986242524,2018/4/4 7:36,3,0,优惠券结算,交易成功优惠券支付金额结算
180402-446412465921003,2018/4/4 6:47,0,-10,优惠券结算,退款补用户优惠券
180402-446412465921003,2018/4/4 6:47,10,0,优惠券结算,交易成功优惠券支付金额结算
180329-316723598080160,2018/4/3 22:52,3,0,优惠券结算,交易成功优惠券支付金额结算
180331-402601572482452,2018/4/3 20:39,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180401-238345562883792,2018/4/3 20:31,10,0,优惠券结算,交易成功优惠券支付金额结算
180331-299593029770735,2018/4/3 14:50,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180331-322186903682065,2018/4/2 18:48,3,0,优惠券结算,交易成功优惠券支付金额结算
180329-422309896320015,2018/4/2 14:50,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180330-540011061763048,2018/4/2 13:39,0.82,0,优惠券结算,交易成功优惠券支付金额结算
180329-322642005762709,2018/4/2 11:54,3,0,优惠券结算,交易成功优惠券支付金额结算
180329-448491748480107,2018/4/2 11:40,10,0,优惠券结算,交易成功优惠券支付金额结算
180329-392246967042503,2018/4/2 4:49,3,0,优惠券结算,交易成功优惠券支付金额结算
180330-301362045442708,2018/4/1 23:44,11.04,0,优惠券结算,交易成功优惠券支付金额结算
180329-410217460481679,2018/4/1 19:54,0.72,0,优惠券结算,交易成功优惠券支付金额结算
180330-281579395201077,2018/4/1 18:46,1.54,0,优惠券结算,交易成功优惠券支付金额结算
180331-478071002242505,2018/4/1 14:55,0,-10,优惠券结算,退款补用户优惠券
180331-478071002242505,2018/4/1 14:55,10,0,优惠券结算,交易成功优惠券支付金额结算
180401-206433130240504,2018/4/1 7:08,0,-0.33,优惠券结算,退款扣除优惠券支付金额
180401-206433130240504,2018/4/1 7:08,0.33,0,优惠券结算,交易成功优惠券支付金额结算
180329-329443156481437,2018/3/31 21:38,3,0,优惠券结算,交易成功优惠券支付金额结算
180330-347289515520183,2018/3/31 13:08,0,-3,优惠券结算,退款补用户优惠券
180330-347289515520183,2018/3/31 13:08,3,0,优惠券结算,交易成功优惠券支付金额结算
180326-322685468801438,2018/3/29 11:33,10,0,优惠券结算,交易成功优惠券支付金额结算
180326-321788659842550,2018/3/29 11:32,10,0,优惠券结算,交易成功优惠券支付金额结算
180326-320699123200284,2018/3/29 11:30,10,0,优惠券结算,交易成功优惠券支付金额结算
180322-463804065281714,2018/3/26 16:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180507-387116622721582,2018/5/11 13:44,10,0,优惠券结算,交易成功优惠券支付金额结算
180504-528042943363247,2018/5/11 13:43,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180508-485448454401968,2018/5/11 12:57,3,0,优惠券结算,交易成功优惠券支付金额结算
180506-344913643523522,2018/5/11 12:32,1,0,优惠券结算,交易成功优惠券支付金额结算
180509-275439479681824,2018/5/11 12:25,10,0,优惠券结算,交易成功优惠券支付金额结算
180508-214013170563637,2018/5/11 11:33,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180507-354178206723666,2018/5/11 10:46,10,0,优惠券结算,交易成功优惠券支付金额结算
180508-541511362563463,2018/5/11 10:43,1,0,优惠券结算,交易成功优惠券支付金额结算
180502-395886711042444,2018/5/11 9:38,3,0,优惠券结算,交易成功优惠券支付金额结算
180506-503922037760982,2018/5/11 9:23,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180507-397203677443961,2018/5/11 9:01,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-358598108161732,2018/5/11 8:54,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-501680918401005,2018/5/11 8:49,5,0,优惠券结算,交易成功优惠券支付金额结算
180428-272857115521986,2018/5/11 8:08,10,0,优惠券结算,交易成功优惠券支付金额结算
180505-386213408003948,2018/5/11 7:55,21.9,0,优惠券结算,交易成功优惠券支付金额结算
180502-365527993602907,2018/5/11 6:06,10,0,优惠券结算,交易成功优惠券支付金额结算
180507-128549479681683,2018/5/11 0:54,3,0,优惠券结算,交易成功优惠券支付金额结算
180506-498935029762539,2018/5/10 23:22,10,0,优惠券结算,交易成功优惠券支付金额结算
180504-376866776962967,2018/5/10 22:35,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180505-431794950402719,2018/5/10 22:15,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-328332970242748,2018/5/10 22:10,3,0,优惠券结算,交易成功优惠券支付金额结算
180507-492366433282873,2018/5/10 22:09,10,0,优惠券结算,交易成功优惠券支付金额结算
180508-498889058561402,2018/5/10 22:06,10,0,优惠券结算,交易成功优惠券支付金额结算
180507-520525994882839,2018/5/10 21:58,1.59,0,优惠券结算,交易成功优惠券支付金额结算
180507-364662278402830,2018/5/10 21:25,10,0,优惠券结算,交易成功优惠券支付金额结算
180417-519462965760074,2018/5/10 20:42,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-486211799043681,2018/5/10 20:14,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180507-333000673282244,2018/5/10 19:30,10,0,优惠券结算,交易成功优惠券支付金额结算
180507-307504957443249,2018/5/10 18:58,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180504-435629834241758,2018/5/10 18:52,9.9,0,优惠券结算,交易成功优惠券支付金额结算
180505-443084438403214,2018/5/10 18:02,18.89,0,优惠券结算,交易成功优惠券支付金额结算
180506-354846382082452,2018/5/10 17:37,5,0,优惠券结算,交易成功优惠券支付金额结算
180507-331008053123943,2018/5/10 17:26,4,0,优惠券结算,交易成功优惠券支付金额结算
180505-412879600642006,2018/5/10 17:13,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-450221404160752,2018/5/10 16:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-243399732481658,2018/5/10 16:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-292156524803586,2018/5/10 16:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-513781104651810,2018/5/10 16:43,3,0,优惠券结算,交易成功优惠券支付金额结算
180423-240468168963499,2018/5/10 16:43,0.71,0,优惠券结算,交易成功优惠券支付金额结算
180422-453421406080916,2018/5/10 16:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-502095943683490,2018/5/10 16:43,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180423-345498388481983,2018/5/10 16:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-513962487051968,2018/5/10 16:43,3,0,优惠券结算,交易成功优惠券支付金额结算
180422-458278314242021,2018/5/10 16:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-280709761282510,2018/5/10 16:43,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180423-361410536320607,2018/5/10 16:43,1.05,0,优惠券结算,交易成功优惠券支付金额结算
180423-227058401280849,2018/5/10 16:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180425-337078241280555,2018/5/10 16:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-388664750092860,2018/5/10 16:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-256848081922257,2018/5/10 16:43,5.88,0,优惠券结算,交易成功优惠券支付金额结算
180423-346998268162389,2018/5/10 16:43,0.15,0,优惠券结算,交易成功优惠券支付金额结算
180422-471406602241960,2018/5/10 16:42,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180423-233363324802018,2018/5/10 16:42,3,0,优惠券结算,交易成功优惠券支付金额结算
180422-529528009600186,2018/5/10 16:42,1.06,0,优惠券结算,交易成功优惠券支付金额结算
180405-346712225281191,2018/5/10 16:42,3,0,优惠券结算,交易成功优惠券支付金额结算
180422-452657172480241,2018/5/10 16:42,5,0,优惠券结算,交易成功优惠券支付金额结算
180422-479752642570818,2018/5/10 16:42,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180406-501394231042932,2018/5/10 16:42,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-358107868162953,2018/5/10 16:42,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180406-478306988803275,2018/5/10 16:42,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180422-400247932803644,2018/5/10 16:42,52.9,0,优惠券结算,交易成功优惠券支付金额结算
180507-216220673922904,2018/5/10 16:28,10,0,优惠券结算,交易成功优惠券支付金额结算
180507-403191244801588,2018/5/10 16:04,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180425-311097008001718,2018/5/10 15:44,5,0,优惠券结算,交易成功优惠券支付金额结算
180502-511882928010348,2018/5/10 15:35,5,0,优惠券结算,交易成功优惠券支付金额结算
180430-384565053442523,2018/5/10 15:23,0.62,0,优惠券结算,交易成功优惠券支付金额结算
180510-312952823682835,2018/5/10 15:19,0,-5,优惠券结算,退款补用户优惠券
180510-312952823682835,2018/5/10 15:19,5,0,优惠券结算,交易成功优惠券支付金额结算
180506-406583266563036,2018/5/10 15:10,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180507-379598929931951,2018/5/10 15:06,10,0,优惠券结算,交易成功优惠券支付金额结算
180507-395038407680063,2018/5/10 14:15,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180507-513926893441829,2018/5/10 13:46,4,0,优惠券结算,交易成功优惠券支付金额结算
180506-267583576322783,2018/5/10 13:39,1,0,优惠券结算,交易成功优惠券支付金额结算
180507-296549498880418,2018/5/10 13:38,4,0,优惠券结算,交易成功优惠券支付金额结算
180506-531864071041757,2018/5/10 12:59,10,0,优惠券结算,交易成功优惠券支付金额结算
180505-285141744643284,2018/5/10 12:40,10,0,优惠券结算,交易成功优惠券支付金额结算
180507-367522160642449,2018/5/10 12:38,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180507-227948110720312,2018/5/10 12:10,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-431122863361368,2018/5/10 11:52,10,0,优惠券结算,交易成功优惠券支付金额结算
180505-383926010883015,2018/5/10 11:30,5,0,优惠券结算,交易成功优惠券支付金额结算
180430-450433438721563,2018/5/10 11:09,10,0,优惠券结算,交易成功优惠券支付金额结算
180507-397103760642287,2018/5/10 11:08,0.64,0,优惠券结算,交易成功优惠券支付金额结算
180503-257904943360808,2018/5/10 11:02,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-474997249280999,2018/5/10 10:28,0.62,0,优惠券结算,交易成功优惠券支付金额结算
180505-427334862721275,2018/5/10 10:16,16.5,0,优惠券结算,交易成功优惠券支付金额结算
180505-285975235840373,2018/5/10 8:14,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-409124419840500,2018/5/10 6:33,4,0,优惠券结算,交易成功优惠券支付金额结算
180507-135213470723612,2018/5/10 0:08,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-532903850241045,2018/5/9 23:21,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-434698753282717,2018/5/9 23:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180505-229892117760810,2018/5/9 22:52,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180505-433466026882878,2018/5/9 22:47,0.72,0,优惠券结算,交易成功优惠券支付金额结算
180504-433890326411044,2018/5/9 21:06,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180503-441204721922346,2018/5/9 20:56,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180505-489955083521062,2018/5/9 20:51,3.04,0,优惠券结算,交易成功优惠券支付金额结算
180506-415110420482069,2018/5/9 20:45,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180506-296787427201314,2018/5/9 20:39,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-373873792003906,2018/5/9 20:28,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180505-139729793920588,2018/5/9 20:00,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-500205195520291,2018/5/9 19:06,3.5,0,优惠券结算,交易成功优惠券支付金额结算
180422-527681619200635,2018/5/9 18:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-285638394883678,2018/5/9 18:18,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180418-393304280961110,2018/5/9 18:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-353344396161101,2018/5/9 18:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-530261719053668,2018/5/9 18:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-487400595201079,2018/5/9 18:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-282220399363129,2018/5/9 18:18,3,0,优惠券结算,交易成功优惠券支付金额结算
180423-286820860800576,2018/5/9 18:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-424994963203613,2018/5/9 18:18,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180406-371219269120541,2018/5/9 18:18,3,0,优惠券结算,交易成功优惠券支付金额结算
180405-523641271044094,2018/5/9 18:18,0.64,0,优惠券结算,交易成功优惠券支付金额结算
180406-496107150082041,2018/5/9 18:18,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180423-237262475520501,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180406-441791778561013,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180413-257760899851504,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180405-432172572160967,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-534582639364027,2018/5/9 18:17,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180404-496355955200949,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-523312899201951,2018/5/9 18:17,1,0,优惠券结算,交易成功优惠券支付金额结算
180407-489285265922458,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-481779914242466,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180420-493971073280413,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180407-479574254721935,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180422-441625596803974,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-265724485120902,2018/5/9 18:17,2,0,优惠券结算,交易成功优惠券支付金额结算
180418-496601198080914,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180422-492488280322966,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-360120194562935,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180418-403014007681919,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180420-220135239683442,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180419-515994168962940,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-506085877762921,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-330924352650349,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180407-425244449280348,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180422-492121913600854,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-345273326732897,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180413-390636382721865,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180422-518115758081876,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-335136583683383,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180422-479204967682870,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180418-327204748803888,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180419-348932943363371,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180419-468851350402855,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180423-230360852482842,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-388350790403862,2018/5/9 18:17,1,0,优惠券结算,交易成功优惠券支付金额结算
180418-321324216960793,2018/5/9 18:17,20,0,优惠券结算,交易成功优惠券支付金额结算
180420-221858754561833,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-308927056640793,2018/5/9 18:17,1,0,优惠券结算,交易成功优惠券支付金额结算
180406-478578828802340,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180403-457199618563843,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180405-418755888642823,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180418-406138656640266,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180422-348617571200770,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-387665032963842,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180405-501992037130256,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180423-239830642561269,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180418-482275621762804,2018/5/9 18:17,5,0,优惠券结算,交易成功优惠券支付金额结算
180407-263254357761757,2018/5/9 18:17,1.16,0,优惠券结算,交易成功优惠券支付金额结算
180416-426583779200229,2018/5/9 18:17,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180407-494715205133274,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180410-507298338560711,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180419-532706915842246,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-482463363200702,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180403-252196800000702,2018/5/9 18:17,1,0,优惠券结算,交易成功优惠券支付金额结算
180406-512728917123781,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180418-504860956161716,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-288954095360192,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180412-335170183681181,2018/5/9 18:17,5,0,优惠券结算,交易成功优惠券支付金额结算
180418-393241258882204,2018/5/9 18:17,0.2,0,优惠券结算,交易成功优惠券支付金额结算
180407-470605157122204,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-300778135680668,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180416-419398423040676,2018/5/9 18:17,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180419-360128830093734,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-435606316161165,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-308802215680153,2018/5/9 18:17,1,0,优惠券结算,交易成功优惠券支付金额结算
180406-448741460482709,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-456557360640649,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-106440189443204,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180407-270169996801143,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-399187459200638,2018/5/9 18:17,1,0,优惠券结算,交易成功优惠券支付金额结算
180405-491387006722689,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-531414556162165,2018/5/9 18:17,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180419-477874874882680,2018/5/9 18:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-265584965762672,2018/5/9 18:17,3,0,优惠券结算,交易成功优惠券支付金额结算
